ref_area,year,studenti,scuole,region,children_6_10,_merge,proj,studenti_proj,ratio,ratio_hat,ratio_lcl,ratio_ucl,scuole_hat,scuole_lcl,scuole_ucl
,2053,,,Abruzzo,76452.0,right_only,BSL,76452.0,,132.38974873166052,130.05985037406484,134.73658536585367,577.4767361705611,567.4182687085912,587.8216819419412
,2054,,,Abruzzo,75777.0,right_only,BSL,75777.0,,132.38974873166052,130.05985037406484,134.73658536585367,572.3781540940278,562.4084935375257,582.6317636231162
,2055,,,Abruzzo,74986.0,right_only,BSL,74986.0,,132.38974873166052,130.05985037406484,134.73658536585367,566.4033712458235,556.5377792259512,576.5499482302412
,2056,,,Abruzzo,74077.0,right_only,BSL,74077.0,,132.38974873166052,130.05985037406484,134.73658536585367,559.5372807160919,549.7912819955831,569.5608582275569
,2057,,,Abruzzo,73102.0,right_only,BSL,73102.0,,132.38974873166052,130.05985037406484,134.73658536585367,552.1726621610992,542.5549400818218,562.0643095448096
,2058,,,Abruzzo,72053.0,right_only,BSL,72053.0,,132.38974873166052,130.05985037406484,134.73658536585367,544.2490879414199,534.7693783715289,553.9987920389616
,2059,,,Abruzzo,70965.0,right_only,BSL,70965.0,,132.38974873166052,130.05985037406484,134.73658536585367,536.030928979541,526.6943629846855,545.6334125858036
,2060,,,Abruzzo,69840.0,right_only,BSL,69840.0,,132.38974873166052,130.05985037406484,134.73658536585367,527.5332921853187,518.3447376995764,536.9835487210952
,2061,,,Abruzzo,68720.0,right_only,BSL,68720.0,,132.38974873166052,130.05985037406484,134.73658536585367,519.0734226657374,510.0322218601788,528.3721286957856
,2062,,,Abruzzo,67619.0,right_only,BSL,67619.0,,132.38974873166052,130.05985037406484,134.73658536585367,510.7570687897919,501.8607219144853,519.906795260191
,2063,,,Abruzzo,66565.0,right_only,BSL,66565.0,,132.38974873166052,130.05985037406484,134.73658536585367,502.7957272954717,494.03805075848084,511.8028339149442
