"Previsioni regionali della popolazione residente per sesso, età e regione - base 1.1.2024 - Anni 2024/2080"
"Regione: Piemonte"
"Anno";"Sesso";"Età";"Limite inferiore intervallo di confidenza al 90% (5° percentile)";"Limite inferiore intervallo di confidenza all'80% (10° percentile)";"Limite inferiore intervallo di confidenza al 50% (25° percentile)";"Scenario mediano";"Limite superiore intervallo di confidenza al 50% (75° percentile)";"Limite superiore intervallo di confidenza all'80% (90° percentile)";"Limite superiore intervallo di confidenza al 90% (95° percentile)"
2024;Maschi;92;3163;3163;3163;3163;3163;3163;3163;
2024;Maschi;93;2456;2456;2456;2456;2456;2456;2456;
2024;Maschi;94;1686;1686;1686;1686;1686;1686;1686;
2024;Maschi;95;1120;1120;1120;1120;1120;1120;1120;
2024;Maschi;96;721;721;721;721;721;721;721;
2024;Maschi;97;480;480;480;480;480;480;480;
2024;Maschi;98;290;290;290;290;290;290;290;
2024;Maschi;99;195;195;195;195;195;195;195;
2024;Maschi;100;106;106;106;106;106;106;106;
2024;Maschi;101;65;65;65;65;65;65;65;
2024;Maschi;102;37;37;37;37;37;37;37;
2024;Maschi;103;20;20;20;20;20;20;20;
2024;Maschi;104;10;10;10;10;10;10;10;
2024;Maschi;105;5;5;5;5;5;5;5;
2024;Maschi;106;2;2;2;2;2;2;2;
2024;Maschi;107;1;1;1;1;1;1;1;
2024;Maschi;108;0;0;0;0;0;0;0;
2024;Maschi;109;0;0;0;0;0;0;0;
2024;Maschi;110 e oltre;0;0;0;0;0;0;0;
2024;Maschi;Totale;2077302;2077302;2077302;2077302;2077302;2077302;2077302;
2024;Femmine;0;12209;12209;12209;12209;12209;12209;12209;
2024;Femmine;1;12852;12852;12852;12852;12852;12852;12852;
2024;Femmine;2;13345;13345;13345;13345;13345;13345;13345;
2024;Femmine;3;13582;13582;13582;13582;13582;13582;13582;
2024;Femmine;4;14048;14048;14048;14048;14048;14048;14048;
2024;Femmine;5;14785;14785;14785;14785;14785;14785;14785;
2024;Femmine;6;15475;15475;15475;15475;15475;15475;15475;
2024;Femmine;7;16026;16026;16026;16026;16026;16026;16026;
2024;Femmine;8;16143;16143;16143;16143;16143;16143;16143;
2024;Femmine;9;17147;17147;17147;17147;17147;17147;17147;
2024;Femmine;10;17440;17440;17440;17440;17440;17440;17440;
2024;Femmine;11;18066;18066;18066;18066;18066;18066;18066;
2024;Femmine;12;17941;17941;17941;17941;17941;17941;17941;
2024;Femmine;13;18544;18544;18544;18544;18544;18544;18544;
2024;Femmine;14;19173;19173;19173;19173;19173;19173;19173;
2024;Femmine;15;19182;19182;19182;19182;19182;19182;19182;
2024;Femmine;16;19239;19239;19239;19239;19239;19239;19239;
